"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","...11","has_prior"
3324829,3331230,1,"186.22(b)(1)","PC","Enhancement",2022-02-28,"TRUE","White","Male",2021-09-20,250000,"In Custody",NA,2021-09-19,"N","211/212.5(c)","PC","Felony",2022-02-28,"Guilty",NA,0
3324829,3331230,2,"186.22(b)(1)","PC","Enhancement",2022-02-28,"TRUE","White","Male",2021-09-20,250000,"In Custody",NA,2021-09-19,"N","245(b)","PC","Felony",2022-02-28,"Guilty",NA,0
3324836,3331237,1,"186.22(b)(1)","PC","Enhancement",2021-12-14,"Dismissed/Not True","Hispanic","Male",2021-09-21,1e+05,"In Custody",NA,2021-09-21,"N","11370.1(a)","HS","Felony",2021-12-14,"Guilty",NA,0
3324836,3331237,3,"186.22(b)(1)","PC","Enhancement",2021-12-14,"Dismissed/Not True","Hispanic","Male",2021-09-21,1e+05,"In Custody",NA,2021-09-21,"N","25850(a)/(c)(6)","PC","Felony",2021-12-14,"Guilty",NA,0
3324836,3331238,2,"186.22(b)(1)","PC","Enhancement",2021-12-14,"Dismissed/Not True","Hispanic","Male",2021-09-21,1e+05,"In Custody",NA,2021-09-21,"N","29800(a)(1)","PC","Felony",2021-12-14,"Guilty",NA,1
3324836,3331238,3,"186.22(b)(1)","PC","Enhancement",2021-12-14,"Dismissed/Not True","Hispanic","Male",2021-09-21,1e+05,"In Custody",NA,2021-09-21,"N","25850(a)/(c)(6)","PC","Felony",2021-12-14,"Guilty",NA,1
3325702,3332163,1,"186.22(b)(1)","PC","Enhancement",2022-01-04,"Dismissed/Not True","Hispanic","Male",2021-09-23,50000,"In Custody",NA,2021-09-23,"N","422(a)","PC","Felony",2022-01-04,"Reduced",NA,0
3325702,3332163,2,"186.22(b)(1)","PC","Enhancement",2022-01-04,"Dismissed/Not True","Hispanic","Male",2021-09-23,50000,"In Custody",NA,2021-09-23,"N","69","PC","Felony",2022-01-04,"Reduced",NA,0
3326046,3332550,1,"186.22(b)(1)","PC","Enhancement",2021-10-19,"Dismissed/Not True","Black","Male",NA,1e+05,"Appearance Date",NA,2021-09-24,"N","22210","PC","Felony",2021-10-19,"Reduced",NA,1
3326236,3330725,1,"186.22(b)(1)","PC","Enhancement",2022-01-24,"TRUE","Hispanic","Male",2021-09-19,1e+05,"Arraignment Letter",NA,2021-09-19,"N","29800(a)(1)","PC","Felony",2022-01-24,"Guilty",NA,0
