"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","has_prior"
2591693,2640925,2,"186.22(b)(1)","PC","Enhancement",2014-10-03,"Dismissed/Not True","Hispanic","Male",2014-05-16,250000,"In Custody",NA,2014-05-02,"N","422(a)","PC","Felony",2014-10-03,"Dismissed/Not Guilty",0
2592013,2641268,1,"186.22(b)(1)","PC","Enhancement",2016-03-15,"Dismissed/Not True","Hispanic","Male",NA,NA,"In Custody",NA,2014-04-27,"N","30305(a)(1)","PC","Felony",2016-03-15,"Reduced",1
2592424,2641719,1,"186.22(b)(1)","PC","Enhancement",2014-08-29,"True","Hispanic","Male",2014-05-10,NA,"Appearance Date",NA,2014-05-10,"N","626.9(b)","PC","Felony",2014-08-29,"Guilty",0
2592523,2641834,1,"186.22(b)(1)","PC","Enhancement",2014-12-12,"Dismissed/Not True","Hispanic","Male",NA,1e+05,"Request for Warrant",NA,2014-05-15,"N","11352(a)","HS","Felony",2014-12-12,"Dismissed/Not Guilty",1
2592523,2641834,2,"186.22(b)(1)","PC","Enhancement",2014-12-12,"Dismissed/Not True","Hispanic","Male",NA,1e+05,"Request for Warrant",NA,2014-05-15,"N","11351","HS","Felony",2014-12-12,"Guilty",1
2592637,2641959,1,"186.22(b)(1)","PC","Enhancement",2015-10-07,"True","Hispanic","Male",NA,1e+06,"In Custody",NA,2014-05-20,"N","29800(a)(1)","PC","Felony",2015-10-07,"Guilty",1
2592637,2641959,2,"186.22(b)(1)","PC","Enhancement",2015-10-07,"True","Hispanic","Male",NA,1e+06,"In Custody",NA,2014-05-20,"N","25850(a)/(c)(1)","PC","Felony",2015-10-07,"Guilty",1
2592637,2641960,1,"186.22(b)(1)","PC","Enhancement",2015-10-07,"True","Hispanic","Male",NA,1e+05,"In Custody",NA,2014-05-20,"N","29800(a)(1)","PC","Felony",2015-10-07,"Guilty",0
2592637,2641960,2,"186.22(b)(1)","PC","Enhancement",2015-10-07,"True","Hispanic","Male",NA,1e+05,"In Custody",NA,2014-05-20,"N","25850(a)/(c)(1)","PC","Felony",2015-10-07,"Guilty",0
2592637,2641960,4,"186.22(b)(1)","PC","Enhancement",2015-10-07,"True","Hispanic","Male",NA,1e+05,"In Custody",NA,2014-05-20,"N","11370.1(a)","HS","Felony",2015-10-07,"Guilty",0
2592712,2642039,1,"186.22(b)(1)","PC","Enhancement",2016-03-17,"True","Hispanic","Male",2014-05-21,1e+06,"In Custody",NA,2014-05-21,"N","182(a)(1)","PC","Felony",2016-03-17,"Guilty",0
2592712,2642040,1,"186.22(b)(1)","PC","Enhancement",2016-03-17,"True","Hispanic","Male",2014-05-21,1e+06,"In Custody",NA,2014-05-21,"N","182(a)(1)","PC","Felony",2016-03-17,"Guilty",0
2592777,2642111,1,"186.22(b)(1)","PC","Enhancement",2018-06-22,"True","Asian","Male",NA,1e+06,NA,NA,2007-08-19,"N","664(a)-187(a)","PC","Felony",2018-06-22,"Guilty",0
2592777,2642111,2,"186.22(b)(1)","PC","Enhancement",2018-06-22,"True","Asian","Male",NA,1e+06,NA,NA,2007-08-19,"N","664(a)-187(a)","PC","Felony",2018-06-22,"Guilty",0
2592777,2642111,3,"186.22(b)(1)","PC","Enhancement",2018-06-22,"True","Asian","Male",NA,1e+06,NA,NA,2007-08-19,"N","664(a)-187(a)","PC","Felony",2018-06-22,"Guilty",0
2592777,2642111,4,"186.22(b)(1)","PC","Enhancement",2018-06-22,"True","Asian","Male",NA,1e+06,NA,NA,2007-08-19,"N","246","PC","Felony",2018-06-22,"Guilty",0
2593153,2642522,1,"186.22(b)(1)","PC","Enhancement",2014-07-02,"True","Hispanic","Male",2014-05-25,1e+05,"In Custody",NA,2014-05-25,"N","29800(a)(1)","PC","Felony",2014-07-02,"Guilty",1
2593153,2642522,2,"186.22(b)(1)","PC","Enhancement",2014-07-02,"Dismissed/Not True","Hispanic","Male",2014-05-25,1e+05,"In Custody",NA,2014-05-25,"N","25850(a)/(c)(1)","PC","Felony",2014-07-02,"Dismissed/Not Guilty",1
2593207,2642577,1,"186.22(b)(1)","PC","Enhancement",2014-11-10,"Dismissed/Not True","Hispanic","Male",2014-05-23,50000,"In Custody",NA,2014-05-23,"N","29800(a)(1)","PC","Felony",2014-11-10,"Guilty",1
2593207,2642577,2,"186.22(b)(1)","PC","Enhancement",2014-11-10,"Dismissed/Not True","Hispanic","Male",2014-05-23,50000,"In Custody",NA,2014-05-23,"N","30305(a)(1)","PC","Felony",2014-11-10,"Guilty",1
2593235,2642607,1,"186.22(b)(1)","PC","Enhancement",2014-07-25,"True","Hispanic","Male",2014-05-25,1e+05,"In Custody",NA,2014-05-25,"N","29800(a)(1)","PC","Felony",2014-07-25,"Guilty",0
2593235,2642607,2,"186.22(b)(1)","PC","Enhancement",2014-07-25,"Dismissed/Not True","Hispanic","Male",2014-05-25,1e+05,"In Custody",NA,2014-05-25,"N","459-460(b)","PC","Felony",2014-07-25,"Dismissed/Not Guilty",0
2593235,2642607,3,"186.22(b)(1)","PC","Enhancement",2014-07-25,"Dismissed/Not True","Hispanic","Male",2014-05-25,1e+05,"In Custody",NA,2014-05-25,"N","459-460(b)","PC","Felony",2014-07-25,"Dismissed/Not Guilty",0
2593235,2642607,4,"186.22(b)(1)","PC","Enhancement",2014-07-25,"Dismissed/Not True","Hispanic","Male",2014-05-25,1e+05,"In Custody",NA,2014-05-25,"N","496(a)","PC","Felony",2014-07-25,"Dismissed/Not Guilty",0
2593235,2642607,5,"186.22(b)(1)","PC","Enhancement",2014-07-25,"Dismissed/Not True","Hispanic","Male",2014-05-25,1e+05,"In Custody",NA,2014-05-25,"N","496(a)","PC","Felony",2014-07-25,"Dismissed/Not Guilty",0
2593256,2642630,1,"186.22(b)(1)","PC","Enhancement",2014-08-08,"Dismissed/Not True","Hispanic","Male",NA,1e+05,"Request for Warrant",NA,2014-05-26,"N","211/212.5(c)","PC","Felony",2014-08-08,"Dismissed/Not Guilty",0
2594198,2643679,1,"186.22(b)(1)","PC","Enhancement",2023-01-20,"Dismissed/Not True","Hispanic","Male",2014-05-28,1e+06,"In Custody",NA,2014-05-20,"N","187(a)","PC","Felony",2023-01-20,"Guilty",0
2594198,2643679,1,"186.22(b)(4)","PC","Other",2023-01-20,"Dismissed/Not True","Hispanic","Male",2014-05-28,1e+06,"In Custody",NA,2014-05-20,"N","187(a)","PC","Felony",2023-01-20,"Guilty",0
2594198,2643679,2,"186.22(b)(1)","PC","Enhancement",2023-01-20,"Dismissed/Not True","Hispanic","Male",2014-05-28,1e+06,"In Custody",NA,2014-05-20,"N","664(a)-187(a)","PC","Felony",2023-01-20,"Guilty",0
2594198,2643679,2,"186.22(b)(4)","PC","Other",2023-01-20,"Dismissed/Not True","Hispanic","Male",2014-05-28,1e+06,"In Custody",NA,2014-05-20,"N","664(a)-187(a)","PC","Felony",2023-01-20,"Guilty",0
2594198,2643679,3,"186.22(b)(1)","PC","Enhancement",2023-01-20,"Dismissed/Not True","Hispanic","Male",2014-05-28,1e+06,"In Custody",NA,2014-05-28,"N","10851(a)","VC","Felony",2023-01-20,"Dismissed/Not Guilty",0
2594198,2643679,4,"186.22(b)(1)","PC","Enhancement",2023-01-20,"Dismissed/Not True","Hispanic","Male",2014-05-28,1e+06,"In Custody",NA,2014-05-28,"N","29800(a)(1)","PC","Felony",2023-01-20,"Dismissed/Not Guilty",0
2594267,2643748,1,"186.22(b)(1)","PC","Enhancement",2015-10-26,"Dismissed/Not True","Hispanic","Male",NA,1e+05,"In Custody",NA,2014-05-28,"N","30305(a)(1)","PC","Felony",2015-10-26,"Guilty",1
2594267,2643748,2,"186.22(b)(1)","PC","Enhancement",2015-10-26,"Dismissed/Not True","Hispanic","Male",NA,1e+05,"In Custody",NA,2014-05-28,"N","29800(a)(1)","PC","Felony",2015-10-26,"Guilty",1
2594267,2644669,1,"186.22(b)(1)","PC","Enhancement",2015-10-26,"Dismissed/Not True","Hispanic","Male",NA,50000,"Appearance Date",NA,2014-05-28,"N","30305(a)(1)","PC","Felony",2015-10-26,"Guilty",0
2594267,2644669,2,"186.22(b)(1)","PC","Enhancement",2015-10-26,"Dismissed/Not True","Hispanic","Male",NA,50000,"Appearance Date",NA,2014-05-28,"N","29800(a)(1)","PC","Felony",2015-10-26,"Guilty",0
